Food,Class,Ingredients,Calories,Protein,Carbs,Fat,Healthy
Sprouted Moong Chaat,vegan,"sprouted moong, onion, tomato, lemon",186.2,12.1,28.4,2.3,Yes
Ragi Khakhra,vegan,"ragi flour, sesame, ajwain, salt",144.5,3.7,22.1,3.5,Yes
Oats Tikki,veg,"oats, grated carrot, coriander",165.8,4.5,23.3,5.1,Yes
Grilled Paneer Sticks,veg,"paneer, pepper, herbs",198.6,17.4,5.8,11.6,Yes
Egg White Sandwich,nonveg,"egg whites, whole wheat bread, lettuce",216.9,14.2,22.5,7.9,Yes
Vegetable Dhokla,veg,"besan, spinach, green chili",164.3,6.1,21.6,5.2,Yes
Cucumber Chana Salad,vegan,"chickpeas, cucumber, lemon",174.8,9.2,19.3,3.8,Yes
Ragi Idli,vegan,"ragi flour, urad dal, salt",143.7,3.9,26.7,1.9,Yes
Oats Upma,vegan,"oats, vegetables, mustard",187.4,5.4,27.5,5.1,Yes
Paneer Lettuce Wraps,veg,"paneer, lettuce, spices",202.6,15.3,6.2,10.7,Yes
Vegetable Steamed Momos,veg,"whole wheat flour, cabbage, carrot",162.8,4.3,22.1,3.7,Yes
Boiled Egg Chaat,nonveg,"boiled egg, onion, chili, lemon",153.5,13.8,4.2,8.1,Yes
Masala Corn,vegan,"boiled corn, spices, lemon",146.2,4.2,25.1,2.7,Yes
Moong Dal Cheela,vegan,"moong dal, ginger, chili",189.6,10.1,19.6,6.8,Yes
Besan Pancakes,vegan,"besan, tomato, coriander",178.3,7.4,20.5,7.1,Yes
Cabbage Cutlet,vegan,"cabbage, potato, oats",162.4,4.5,23.8,4.2,Yes
Carrot Beetroot Tikki,vegan,"beetroot, carrot, oats",149.7,3.8,20.2,3.4,Yes
Ragi Cookies,veg,"ragi flour, jaggery, ghee",138.1,2.4,18.5,5.9,Yes
Quinoa Poha,vegan,"quinoa, onion, mustard",182.5,6.9,21.4,5.6,Yes
Rajgira Ladoo,veg,"amaranth, jaggery",135.7,2.3,23.7,2.6,Yes
Sweet Potato Chaat,vegan,"sweet potato, chili powder, lemon",164.4,2.1,31.4,3.5,Yes
Oats and Moong Cutlet,vegan,"moong dal, oats, spices",176.8,8.2,21.3,5.7,Yes
Makhana Masala,vegan,"fox nuts, chili powder, olive oil",122.3,5.6,9.7,4.3,Yes
Stuffed Multigrain Paratha,veg,"multigrain flour, veggies, curd",215.6,7.9,28.5,7.6,Yes
Whole Wheat Veg Sandwich,veg,"whole wheat bread, cucumber, tomato",198.9,5.1,28.4,6.2,Yes
Baked Samosa,veg,"whole wheat flour, peas, potato",211.2,4.9,29.6,5.5,Yes
Grilled Tofu Cubes,vegan,"tofu, chili, pepper",188.4,14.5,4.3,10.2,Yes
Ragi Dosa,vegan,"ragi flour, rice, urad dal",172.8,4.1,22.4,5.2,Yes
Hummus with Cucumber Slices,vegan,"chickpeas, tahini, lemon",139.6,6.3,12.1,7.3,Yes
Vegetable Appe,veg,"idli batter, chopped vegetables",148.5,4.2,20.3,4.5,Yes
Sprouted Moong & Paneer Salad,veg,"sprouted moong, paneer, cucumber, lemon",172.3,14.1,12.8,5.2,Yes
Masala Egg White Roll,nonveg,"egg whites, whole wheat wrap, pepper",158.7,18.3,14.2,3.1,Yes
Oven-Roasted Chana,vegan,"black chickpeas, chili powder, cumin",132.5,9.8,18.1,2.7,Yes
Baked Sweet Potato Fries,vegan,"sweet potato, olive oil, pepper",143.9,2.0,32.4,2.8,Yes
Quinoa & Veg Cutlet,vegan,"quinoa, carrot, peas, herbs",165.1,5.6,25.0,4.2,Yes
Ragi & Peanut Ladoo,veg,"ragi flour, peanuts, jaggery",189.2,6.7,20.3,9.1,Yes
Cucumber Mint Raita,veg,"cucumber, yogurt, mint",78.4,4.2,6.5,3.1,Yes
Methi Muthiya,veg,"fenugreek, wheat flour, yogurt",158.6,5.8,22.1,4.7,Yes
Baked Oats & Banana Bars,veg,"oats, banana, flaxseed",192.7,4.5,35.2,5.3,Yes
Chilled Moong Sprout Sundal,vegan,"sprouted moong, coconut, mustard",136.2,9.0,18.9,3.3,Yes
Grilled Corn with Lime,vegan,"corn, lime, chili",132.1,4.0,28.5,1.9,Yes
Besan & Spinach Fritters (Air-fried),veg,"besan, spinach, cumin",149.8,6.9,18.4,5.1,Yes
Peanut Chikki (Minimal Jaggery),veg,"peanuts, jaggery",175.4,5.7,15.6,11.2,Yes
Roasted Makhana Curry Powder,vegan,"fox nuts, turmeric, pepper",98.5,4.1,12.3,2.6,Yes
Mint & Cucumber Sandwich,veg,"whole wheat bread, cucumber, mint yogurt",164.3,6.0,26.1,4.0,Yes
Boiled Corn Chaat,vegan,"boiled corn, lemon, chaat masala",121.9,3.3,26.0,1.2,Yes
Oats & Flaxseed Dosa,vegan,"oats, flaxseed, yogurt",153.2,5.9,22.8,4.9,Yes
Chickpea Sundal,vegan,"boiled chickpeas, coconut, mustard",178.5,9.2,21.4,6.3,Yes
Baked Vegetable Spring Roll,veg,"whole wheat wrapper, cabbage, carrots",142.6,4.0,19.5,4.7,Yes
Coconut & Pea Salad,vegan,"grated coconut, peas, lime",132.4,5.1,17.2,5.9,Yes
Tomato & Moong Dal Chaat,vegan,"moong dal, tomato, spices",169.7,10.4,24.9,3.2,Yes
Oats & Yogurt Parfait,veg,"oats, yogurt, berries",162.1,6.7,25.3,3.8,Yes
Ragi & Vegetable Muffin,veg,"ragi flour, zucchini, carrot",184.5,5.2,28.1,6.0,Yes
Chickpea & Avocado Toast,vegan,"chickpeas, avocado, multigrain bread",201.3,7.8,24.5,9.1,Yes
Spiced Buttermilk,veg,"curd, water, cumin, mint",56.8,3.1,5.2,2.3,Yes
Fruit & Nut Chaat,vegan,"apple, pomegranate, almonds, lemon",117.5,2.6,28.4,3.2,Yes
Crispy Soya Chunks,veg,"soya chunks, pepper, minimal oil",142.9,18.7,8.3,4.1,Yes
Moong Dal Sprouts Wrap,vegan,"sprouts, lettuce, mint",158.0,9.3,18.7,3.9,Yes
Spiced Pumpkin Seeds,vegan,"pumpkin seeds, paprika, salt",167.2,8.5,4.1,13.4,Yes
Stuffed Moong Dal Pancake,vegan,"moong dal, spinach, ginger",172.6,11.1,18.9,4.5,Yes
Baked Rajma Patty,vegan,"kidney beans, oats, onion, chili",168.3,8.2,24.6,3.6,Yes
Vegetable Seviyan (low-oil),veg,"vermicelli, carrot, peas, mustard seeds",151.2,4.4,29.1,3.1,Yes
Beetroot Cutlets (Air Fried),veg,"beetroot, oats, ginger",143.6,3.7,23.5,2.8,Yes
Chickpea & Tomato Salad,vegan,"chickpeas, tomato, herbs",163.9,8.7,19.4,5.1,Yes
Wheat & Ragi Paniyaram,veg,"wheat flour, ragi, curd",169.8,6.1,22.5,6.7,Yes
Oats Upma,veg,"oats, vegetables, mustard seeds",153.2,4.8,22.6,4.2,Yes
Carrot & Cucumber Sticks with Hummus,vegan,"chickpeas, sesame, olive oil",192.0,6.5,18.4,9.7,Yes
Ragi & Almond Smoothie,veg,"ragi flour, almonds, milk",178.9,6.4,22.8,6.8,Yes
Homemade Protein Balls,veg,"dates, oats, nuts",186.5,5.9,25.2,7.6,Yes
Grilled Tofu Cubes,vegan,"tofu, lemon, pepper",162.1,14.2,6.3,9.1,Yes
Murmura Chaat,vegan,"puffed rice, onion, tomato, chutney",122.6,2.3,26.5,1.8,Yes
