Food,Class,Ingredients,Calories,Protein,Carbs,Fat,Healthy
Palak Paneer,Vegetarian,"Spinach, Paneer, Spices,290",12,14,22,12,Yes
Green Chili Chutney,veg,"Green chili, garlic, lemon, salt",20,0.8,3,0.1,Yes
Mint Chutney,veg,"Mint leaves, coriander, green chili, lemon, salt",25,1,5,0.3,Yes
Green Chilli Salad,Veg,"Green chilli, Lemon, Salt",30,1,6,0,Yes
Coriander Chutney,veg,"Coriander leaves, green chili, lemon, ginger",30,1.5,6,0.4,Yes
Radish Chutney,veg,"Radish, green chili, coriander, ginger",35,1.2,6,0.2,Yes
Lauki Chutney,veg,"Bottle gourd, chili, tamarind, garlic",35,1,7,0.2,Yes
Tomato Salad,Veg,"Tomato, Lemon, Black salt",40,1,9,0,Yes
Tomato Chutney,veg,"Tomato, onion, garlic, red chili, oil",40,1,6,2,Yes
Gooseberry (Amla) Chutney,veg,"Amla, green chili, coriander, salt",40,1,7,0.5,Yes
Cabbage Chutney,veg,"Cabbage, tamarind, chili, garlic",40,1,6,0.5,Yes
Pudina-Curd Chutney,veg,"Mint, curd, green chili, cumin",40,2,5,1,Yes
Cucumber Salad,Veg,"Cucumber, Lemon, Salt",45,1,10,0,Yes
Coconut Water,Veg,Coconut water,45,1,9,0,Yes
Curry Leaves Chutney,veg,"Curry leaves, tamarind, red chili, garlic",45,2,6,1.5,Yes
Spinach Chutney,veg,"Spinach, green chili, tamarind, garlic",45,2,8,0.5,Yes
Onion Salad,Veg,"Onion slices, Lemon, Salt",50,1,12,0,Yes
Mint Chutney,Veg,"Mint, Coriander, Green chilli, Lemon",50,1,8,1,Yes
Ginger Chutney,veg,"Ginger, tamarind, jaggery, red chili",50,1,8,1,Yes
Raw Mango Chutney,veg,"Raw mango, green chili, jaggery, coriander",50,1,11,0.3,Yes
Capsicum Chutney,veg,"Capsicum, onion, tamarind, chili",50,1,8,1,Yes
Onion Chutney,veg,"Onion, tamarind, red chili, garlic",55,1.2,8,2,Yes
Carrot Chutney,veg,"Carrot, coconut, red chili, tamarind",55,1,9,1,Yes
Bitter Gourd Chutney,veg,"Bitter gourd, onion, chili, tamarind",55,1,9,0.8,Yes
Carrot Salad,Veg,"Carrot, Lemon, Green chilli",60,1,14,0,Yes
Onion Chutney,Veg,"Onion, Tamarind, Red chilli",60,2,12,2,Yes
Beetroot Chutney,veg,"Beetroot, coconut, chili, tamarind",60,1.5,10,1.5,Yes
Drumstick Leaves Chutney,veg,"Moringa leaves, tamarind, chili, garlic",60,3,8,1,Yes
Pumpkin Chutney,veg,"Pumpkin, tamarind, red chili, garlic",60,1,10,1,Yes
Fulka,Veg,"Whole wheat flour, water, salt",65,2.8,14,0.3,Yes
Tamarind Chutney,veg,"Tamarind pulp, jaggery, spices",65,0.5,16,0.2,Yes
Chaas (Buttermilk),Veg,"Curd, Water, Salt, Jeera",70,4,8,2,Yes
Jaljeera,Veg,"Cumin, Tamarind, Lemon, Black salt",70,1,12,0,Yes
